ADDRESS,POINTS
210S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
211V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
212V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
213V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
214V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
215V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
216V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
217V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
171S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
173S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
174S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
149V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
150V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
151V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
152V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
153V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
154V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
155V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
156V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
157V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
158V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
159S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
160S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
161S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
162S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
163S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
164V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
165S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
166S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
167S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
168S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
169S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
170S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
127V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
128V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
129V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
130V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
131V 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
132S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
133S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
134S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
135S 1507 CENTRE A ST NE,702.565 1917.861|702.733 1991.695|667.948 1991.628|667.927 1984.022|636.931 1983.967|636.778 1923.076|667.787 1923.121|667.752 1917.794
