ADDRESS,POINTS
1409 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1410 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1411 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1412 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1501 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1502 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1503 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1504 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1505 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1506 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1507 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1508 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1509 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1601 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1602 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1603 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1604 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1605 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1606 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1607 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1608 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1609 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1701 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1702 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1703 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1704 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1705 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1706 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1707 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1801 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1802 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
1803 738 3 AV SW,-388.502 345.899|-477.567 349.902|-479.091 315.520|-476.190 312.340|-390.166 308.481
717 1 AV SW,-360.337 466.100|-367.950 466.111|-375.562 466.134|-383.182 466.145|-390.795 466.167|-398.526 466.178|-398.617 464.054|-400.623 414.439|-400.707 412.315|-393.171 411.971|-385.573 411.637|-377.967 411.292|-370.368 410.948|-362.770 410.614
202A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
201A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
302A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
301A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
402A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
401A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
502A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
501A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
602A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
601A 500 EAU CLAIRE AV SW,-36.692 555.334|-36.965 555.345|-36.531 565.186|-32.519 565.008|-31.072 597.355|-35.077 597.533|-34.707 605.839|-40.082 606.084|-39.013 629.968|-126.764 629.134|-126.701 576.172|-127.799 576.172|-127.771 508.554|-38.964 504.574|-37.664 533.785|-29.841 533.440|-29.569 539.656|-37.384 540.000
