ADDRESS,ASSESSMENT_CLASS_DESCRIPTION,COMM_NAME,LAND_USE_DESIGNATION,MULTIPOLYGON
3629 BLACKBURN RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0552098 51.0221878, -114.0557502 51.0223432, -114.0557951 51.0222808, -114.0558401 51.0222185, -114.0552997 51.0220631, -114.0552548 51.0221255, -114.0552098 51.0221878)))"
4028 15A ST SE,Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0229534 51.0192537, -114.0235183 51.0192547, -114.0235183 51.0191178, -114.0229534 51.0191168, -114.0229534 51.0192537)))"
3850 MANCHESTER RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.057193 51.0204762, -114.0572318 51.0204873, -114.0577329 51.0206317, -114.0577779 51.0205693, -114.057823 51.0205069, -114.057868 51.0204445, -114.057913 51.020382, -114.0579581 51.0203196, -114.0580031 51.0202572, -114.0580481 51.0201948, -114.0580932 51.0201323, -114.0581382 51.0200699, -114.0581832 51.0200075, -114.0582283 51.0199451, -114.0582733 51.0198827, -114.0584001 51.0197069, -114.0577485 51.0197064, -114.0576529 51.0197063, -114.0570013 51.0197059, -114.0569793 51.0197364, -114.0569342 51.0197988, -114.0568892 51.0198612, -114.0568441 51.0199236, -114.0567991 51.019986, -114.0567541 51.0200484, -114.056709 51.0201109, -114.056664 51.0201733, -114.0566189 51.0202357, -114.0565739 51.0202981, -114.0571137 51.0204536, -114.0571139 51.0204534, -114.057193 51.0204762)))"
3633 BLACKBURN RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0552997 51.0220631, -114.0558401 51.0222185, -114.055885 51.0221561, -114.0559299 51.0220937, -114.0553896 51.0219384, -114.0553447 51.0220007, -114.0552997 51.0220631)))"
4068 OGDEN RD SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0229534 51.0191168, -114.0235183 51.0191178, -114.0235183 51.0189808, -114.0235183 51.0188438, -114.0235183 51.0187944, -114.0234532 51.0187533, -114.0229537 51.0187525, -114.0229537 51.018843, -114.0229536 51.0189799, -114.0229534 51.0191168)))"
3633 BLACKBURN RD SE,Non-Residential,MANCHESTER INDUSTRIAL,I-R,"MULTIPOLYGON (((-114.0553896 51.0219384, -114.0559299 51.0220937, -114.0559748 51.0220314, -114.0560197 51.021969, -114.0560646 51.0219066, -114.0561096 51.0218442, -114.0561545 51.0217819, -114.0561994 51.0217195, -114.056332 51.0215354, -114.0556801 51.0215352, -114.0556593 51.0215641, -114.0556143 51.0216265, -114.0555694 51.0216889, -114.0555244 51.0217512, -114.0554795 51.0218136, -114.0554346 51.021876, -114.0553896 51.0219384)))"
4003 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0223016 51.0199371, -114.0223014 51.020074, -114.0228659 51.0200751, -114.022866 51.0199381, -114.0223016 51.0199371)))"
4219 17A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0177954 51.0166943, -114.0183594 51.016695, -114.0183611 51.0163532, -114.017797 51.0163517, -114.0177954 51.0166943)))"
4007 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0223016 51.0199371, -114.022866 51.0199381, -114.0228661 51.0198012, -114.0228662 51.0196643, -114.0223017 51.0196633, -114.0223016 51.0198002, -114.0223016 51.0199371)))"
4243 17A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.017797 51.0163517, -114.0183611 51.0163532, -114.0183647 51.0155997, -114.0178004 51.0155994, -114.017797 51.0163517)))"
3620 14A ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0259367 51.0226291, -114.0264795 51.0226291, -114.0264796 51.0225606, -114.0259368 51.0225606, -114.0259367 51.0226291)))"
4015 16 ST SE,Non-Residential,ALYTH/BONNYBROOK,I-R,"MULTIPOLYGON (((-114.0223017 51.0196633, -114.0228662 51.0196643, -114.0228663 51.0195274, -114.0223019 51.0195264, -114.0223017 51.0196633)))"
